2026-05-28,16:49:56 | INFO | Rank 0 |   name: odm_chinese_handwriting
2026-05-28,16:49:56 | INFO | Rank 0 |   ngpus_per_node: 1
2026-05-28,16:49:56 | INFO | Rank 0 |   nmechine: 1
2026-05-28,16:49:56 | INFO | Rank 0 |   num_bins: 1000
2026-05-28,16:49:56 | INFO | Rank 0 |   num_char_classes: 4630
2026-05-28,16:49:56 | INFO | Rank 0 |   num_classes: 5634
2026-05-28,16:49:56 | INFO | Rank 0 |   padding_index: 5633
2026-05-28,16:49:56 | INFO | Rank 0 |   precision: amp
2026-05-28,16:49:56 | INFO | Rank 0 |   prefix: 
2026-05-28,16:49:56 | INFO | Rank 0 |   pretrained: None
2026-05-28,16:49:56 | INFO | Rank 0 |   rank: 0
2026-05-28,16:49:56 | INFO | Rank 0 |   recog_pad_index: 5630
2026-05-28,16:49:56 | INFO | Rank 0 |   report_to: 
2026-05-28,16:49:56 | INFO | Rank 0 |   resume: None
2026-05-28,16:49:56 | INFO | Rank 0 |   rotate_max_angle: 30
2026-05-28,16:49:56 | INFO | Rank 0 |   rotate_prob: 0.3
2026-05-28,16:49:56 | INFO | Rank 0 |   save_frequency: 1
2026-05-28,16:49:56 | INFO | Rank 0 |   save_most_recent: False
2026-05-28,16:49:56 | INFO | Rank 0 |   seq_loss_weight: 1.0
2026-05-28,16:49:56 | INFO | Rank 0 |   skip_aggregate: False
2026-05-28,16:49:56 | INFO | Rank 0 |   skip_scheduler: False
2026-05-28,16:49:56 | INFO | Rank 0 |   tensorboard: False
2026-05-28,16:49:56 | INFO | Rank 0 |   tensorboard_path: 
2026-05-28,16:49:56 | INFO | Rank 0 |   test_max_size: 1824
2026-05-28,16:49:56 | INFO | Rank 0 |   test_min_size: 1000
2026-05-28,16:49:56 | INFO | Rank 0 |   train_data: E:/ODM/dataset/labels.csv
2026-05-28,16:49:56 | INFO | Rank 0 |   train_max_size: 1600
2026-05-28,16:49:56 | INFO | Rank 0 |   train_min_size: [640, 672, 704, 736, 768, 800, 832, 864, 896]
2026-05-28,16:49:56 | INFO | Rank 0 |   use_LPIPS: True
2026-05-28,16:49:56 | INFO | Rank 0 |   use_OCR_LPIPS: True
2026-05-28,16:49:56 | INFO | Rank 0 |   use_bn_sync: False
2026-05-28,16:49:56 | INFO | Rank 0 |   use_l1: False
2026-05-28,16:49:56 | INFO | Rank 0 |   use_slip: False
2026-05-28,16:49:56 | INFO | Rank 0 |   val_data: None
2026-05-28,16:49:56 | INFO | Rank 0 |   warmup: 10000
2026-05-28,16:49:56 | INFO | Rank 0 |   wd: 0.2
2026-05-28,16:49:56 | INFO | Rank 0 |   word_len: 25
2026-05-28,16:49:56 | INFO | Rank 0 |   workers: 0
2026-05-28,16:49:56 | INFO | Rank 0 |   world_size: 1
2026-05-28,16:49:56 | INFO | Rank 0 | Use GPU: 0 for training
2026-05-28,16:49:58 | INFO | Rank 0 | => no checkpoint found at 'odm_chinese_handwriting'
2026-05-28,16:49:58 | INFO | Rank 0 | Start epoch 0
2026-05-28,20:30:34 | INFO | Rank 0 | Params:
